number,name,address,position_lat,position_lng,banking,bonus,bike_stands
1,"CLARENDON ROW","Clarendon Row",53.340927,-6.262501,0,0,31
2,"BLESSINGTON STREET","Blessington Street",53.356769,-6.268140,0,0,20
3,"BOLTON STREET","Bolton Street",53.351182,-6.269859,0,0,20
4,"GREEK STREET","Greek Street",53.346874,-6.272976,0,0,20
5,"CHARLEMONT PLACE","Charlemont Street",53.330662,-6.260177,0,0,40
6,"CHRISTCHURCH PLACE","Christchurch Place",53.343368,-6.270120,0,0,20
7,"HIGH STREET","High Street",53.343565,-6.275071,0,0,29
8,"CUSTOM HOUSE QUAY","Custom House Quay",53.347884,-6.248048,0,0,30
9,"EXCHEQUER STREET","Exchequer Street",53.343034,-6.263578,0,0,24
10,"DAME STREET","Dame Street",53.344007,-6.266802,1,0,16
11,"EARLSFORT TERRACE","Earlsfort Terrace",53.334295,-6.258503,0,0,30
12,"ECCLES STREET","Eccles Street",53.359246,-6.269779,0,0,20
13,"FITZWILLIAM SQUARE WEST","Fitzwilliam Square West",53.336074,-6.252825,0,0,30
14,"FOWNES STREET UPPER","Fownes Street Upper",53.344603,-6.263371,0,0,30
15,"HARDWICKE STREET","Hardwicke Street",53.355473,-6.264423,0,0,16
16,"GEORGES QUAY","Georges Quay",53.347508,-6.252192,0,0,20
17,"GOLDEN LANE","Golden Lane",53.340803,-6.267732,0,0,20
18,"GRANTHAM STREET","Grantham Street",53.334123,-6.265436,0,0,30
19,"HERBERT PLACE","Herbert Place",53.334432,-6.245575,0,0,30
20,"JAMES STREET EAST","James Street East",53.336597,-6.248109,0,0,30
21,"LEINSTER STREET SOUTH","Leinster Street South",53.342180,-6.254485,0,0,30
22,"TOWNSEND STREET","Townsend Street",53.345922,-6.254614,0,0,20
23,"CUSTOM HOUSE","Custom House",53.348279,-6.254662,0,0,30
24,"CATHAL BRUGHA STREET","Cathal Brugha Street",53.352149,-6.260533,0,0,20
25,"MERRION SQUARE EAST","Merrion Square East",53.339434,-6.246548,0,0,30
26,"MERRION SQUARE WEST","Merrion Square West",53.339764,-6.251988,1,0,20
27,"MOLESWORTH STREET","Molesworth Street",53.341288,-6.258117,0,0,20
28,"MOUNTJOY SQUARE WEST","Mountjoy Square West",53.356299,-6.258586,0,0,30
29,"ORMOND QUAY UPPER","Ormond Quay Upper",53.346057,-6.268001,0,0,29
30,"PARNELL SQUARE NORTH","Parnell Square North",53.353742,-6.265301,0,0,20
31,"PARNELL STREET","Parnell Street",53.350929,-6.265125,0,0,20
32,"PEARSE STREET","Pearse Street",53.344304,-6.250427,0,0,30
33,"PRINCES STREET / O'CONNELL STREET","Princes Street / O'Connell Street",53.349013,-6.260311,1,0,23
34,"PORTOBELLO HARBOUR","Portobello Harbour",53.330362,-6.265163,0,0,30
35,SMITHFIELD,Smithfield,53.347692,-6.278214,0,0,30
