updatedTime,weatherId,weatherMain,temp,feels_like,temp_min,temp_max,humidity,visibility,windSpeed,windDeg,sunrise,sunset
1677187426,803,Clouds,280.24,277.04,279.5,280.92,84,10000,5.14,270,1677137238,1677174596
1677189259,803,Clouds,280.33,277.15,279.52,280.94,84,10000,5.14,270,1677137238,1677174598
1677190958,803,Clouds,280.26,277.29,279.52,280.94,85,10000,4.63,280,1677137238,1677174598
1677192959,803,Clouds,280.13,277.13,279.52,280.38,84,10000,4.63,270,1677137238,1677174598
1677194582,803,Clouds,280.13,276.9,279.52,280.38,84,10000,5.14,270,1677137238,1677174598
1677196340,803,Clouds,280.04,277.02,279.48,280.88,86,10000,4.63,260,1677137239,1677174598
1677198603,803,Clouds,280.08,277.07,279.52,280.91,86,10000,4.63,260,1677223505,1677261114
1677200283,803,Clouds,280.23,276.82,279.52,280.58,85,10000,5.66,270,1677223505,1677261114
1677202085,803,Clouds,279.89,276.39,279.52,280.14,85,10000,5.66,280,1677223505,1677261114
1677203815,803,Clouds,279.75,276.91,279.2,280.14,85,10000,4.12,260,1677223505,1677261114
1677205650,803,Clouds,279.75,276.91,279.2,280.14,86,10000,4.12,260,1677223505,1677261114
1677207418,803,Clouds,279.91,276.86,279.2,280.91,87,10000,4.63,260,1677223505,1677261114
1677209402,803,Clouds,280.03,276.56,279.2,280.91,87,10000,5.66,260,1677223505,1677261114
1677210928,803,Clouds,279.77,276.04,278.52,280.91,88,10000,6.17,260,1677223505,1677261114
1677212724,803,Clouds,279.73,276.18,278.68,280.91,87,10000,5.66,270,1677223505,1677261114
1677214632,803,Clouds,279.73,276.4,278.68,280.91,89,10000,5.14,240,1677223505,1677261114
1677216139,803,Clouds,279.84,276.77,279.16,280.11,87,10000,4.63,240,1677223507,1677261114
1677218286,803,Clouds,280.13,276.69,279.52,280.38,87,10000,5.66,270,1677223505,1677261114
1677220085,803,Clouds,280.13,276.5,279.52,280.38,87,10000,6.17,290,1677223505,1677261114
1677222003,803,Clouds,280.23,276.44,279.68,280.52,87,10000,6.69,280,1677223505,1677261114
1677223340,803,Clouds,280.25,276.84,279.64,281.44,88,10000,5.66,280,1677223507,1677261114
1677225412,803,Clouds,280.28,277.32,279.68,281.47,88,10000,4.63,270,1677223505,1677261114
1677227362,803,Clouds,280.46,278.06,279.68,281.47,88,10000,3.6,260,1677223505,1677261114
1677229016,803,Clouds,280.8,277.96,280.31,281.47,88,10000,4.63,270,1677223505,1677261114
1677230885,300,Drizzle,281.08,278.31,280.52,282.02,88,10000,4.63,270,1677223505,1677261114
1677232685,803,Clouds,281.19,277.84,280.52,282.02,88,10000,6.17,290,1677223505,1677261114
